"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"lipiec";"margaryna - za 400 g";"cena";"2013";3,51;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"pomarańcze - za 1kg";"cena";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"pomarańcze - za 1kg";"cena";"2013";6,10;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"kawa naturalna mielona - za 250g";"cena";"2012";7,78;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"kawa naturalna mielona - za 250g";"cena";"2013";6,92;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2012";182,12;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2013";184,76;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"olej napędowy - za 1l";"cena";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"olej napędowy - za 1l";"cena";"2013";5,66;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"pasta do zębów - za 100 ml";"cena";"2012";8,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"pasta do zębów - za 100 ml";"cena";"2013";8,75;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2012";15,83;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2013";15,72;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"ser dojrzewający - za 1kg";"cena";"2012";19,52;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"ser dojrzewający - za 1kg";"cena";"2013";21,73;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"jaja kurze świeże - za 1szt";"cena";"2012";0,61;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"jaja kurze świeże - za 1szt";"cena";"2013";0,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"margaryna - za 400 g";"cena";"2012";3,34;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"margaryna - za 400 g";"cena";"2013";3,48;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"pomarańcze - za 1kg";"cena";"2012";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"pomarańcze - za 1kg";"cena";"2013";6,53;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"kawa naturalna mielona - za 250g";"cena";"2012";7,78;"zł";"";
0200000;"DOLNOŚLĄSKIE";"sierpień";"kawa naturalna mielona - za 250g";"cena";"2013";7,07;"zł";"";
